#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,
93,Avernum-2-Crystal-Souls,14-Jan-15,$19.99,90% (94%,78%),"50,000?..?100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software,
90,ar-k-episode-3-the-great-escape,14-Jul-15,$7.99,87% (93%,78%),"0?..?20,000",00:00 (00:00),GATO STUDIO,GATO STUDIO,
94,Hand-of-Fate,17-Feb-15,$19.99,80% (91%,78%),"500,000?..?1,000,000",00:35 (00:42),Defiant Development,Defiant Development,
96,Apotheon,3-Feb-15,$14.99,77% (90%,78%),"100,000?..?200,000",03:31 (01:10),Alientrap,Alientrap,
89,RUNNING-WITH-RIFLES,2-Apr-15,$14.99,71% (88%,78%),"200,000?..?500,000",01:52 (02:17),Osumia Games,Osumia Games,
91,Mushroom-11,15-Oct-15,$14.99,58% (83%,78%),"100,000?..?200,000",04:18 (01:26),Untame,Untame,
92,galak-z-the-dimensional,29-Oct-15,$19.99,45% (77%,78%),"200,000?..?500,000",00:00 (00:00),17-BIT,17-BIT,
99,Mini-Metro,6-Nov-15,$9.99,95% (96%,77%),"500,000?..?1,000,000",01:15 (00:44),Dinosaur Polo Club,Dinosaur Polo Club,
106,Aviary-Attorney,21-Dec-15,$14.99,90% (94%,77%),"50,000?..?100,000",00:40 (00:19),Sketchy Logic,Sketchy Logic,
103,Pix-the-Cat,29-Jan-15,$9.99,68% (87%,77%),"50,000?..?100,000",00:00 (00:00),Pastagames,Focus Home Interactive,
101,Tales-of-Zestiria,19-Oct-15,$49.99,63% (85%,77%),"500,000?..?1,000,000",03:11 (02:23),BANDAI NAMCO Studio Inc.,BANDAI NAMCO Entertainment,
97,Interloper,21-May-15,Free,63% (85%,77%),"50,000?..?100,000",00:00 (00:00),Monogon Games,Monogon Games,
102,three-fourths-home,20-Mar-15,$4.99,63% (85%,77%),"20,000?..?50,000",00:00 (00:00),[bracket]games,Digerati Distribution,
105,Deathtrap,4-Feb-15,$19.99,53% (81%,77%),"100,000?..?200,000",00:00 (00:00),NeocoreGames,NeocoreGames,
104,TERA,5-May-15,Free,49% (79%,77%),"2,000,000?..?5,000,000",15:44 (03:53),"Bluehole, Inc.",En Masse Entertainment,
98,Grey-Goo,23-Jan-15,$29.99,31% (69%,77%),"200,000?..?500,000",02:44 (02:52),Petroglyph,Grey Box,
100,evolve,10-Feb-15,0,23% (63%,77%),"5,000,000?..?10,000,000",04:44 (01:53),Turtle Rock Studios,2K,
112,JumpJet-Rex,21-Apr-15,$9.99,95% (96%,76%),"100,000?..?200,000",00:00 (00:00),TreeFortress Games,TreeFortress Games,
113,DISTRAINT,21-Oct-15,$4.99,90% (94%,76%),"2,000,000?..?5,000,000",03:12 (03:28),Jesse Makkonen,Jesse Makkonen,
118,Ys-VI-The-Ark-of-Napishtim,28-Apr-15,$19.99,83% (92%,76%),"50,000?..?100,000",00:03 (00:01),Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",
117,Concrete-Jungle,23-Sep-15,$6.99,77% (90%,76%),"20,000?..?50,000",00:00 (00:00),ColePowered Games,ColePowered Games,
