X.,Game,Url,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
177,The Bureau: XCOM Declassified,The-Bureau-XCOM-Declassified,$19.99,27% (66%/66%),"2,000,000?..?5,000,000",01:19 (01:23),2K Marin,2K
42,The Cat Lady,The-Cat-Lady,$9.99,84% (92%/81%),"100,000?..?200,000",00:00 (00:00),Harvester Games,Screen 7
164,The Cave,The-Cave,$14.99,66% (86%/68%),"200,000?..?500,000",00:03 (00:01),Double Fine Productions,Double Fine Productions
236,The Chaos Engine,The-Chaos-Engine,$9.99,33% (70%/40%),"50,000?..?100,000",00:00 (00:00),"Abstraction Games, The Bitmap Brothers",The Bitmap Brothers
439,The Game of Life,The-Game-of-Life,$9.99,4% (33%),"0?..?20,000",00:00 (00:00),Virtuos,PopCap
129,The Incredible Adventures of Van Helsing,The-Incredible-Adventures-of-Van-Helsing,$14.99,58% (83%/72%),"500,000?..?1,000,000",01:34 (01:02),NeocoreGames,NeocoreGames
138,The Inner World,The-Inner-World,$14.99,84% (92%/72%),"100,000?..?200,000",00:08 (00:02),Studio Fizbin,Headup Games
134,The Journey Down: Chapter One,The-Journey-Down-Chapter-One,$8.99,68% (87%/72%),"200,000?..?500,000",00:00 (00:00),SkyGoblin,SkyGoblin
285,THE KING OF FIGHTERS XIII STEAM EDITION,THE-KING-OF-FIGHTERS-XIII-STEAM-EDITION,$19.99,68% (87%),"500,000?..?1,000,000",01:39 (02:07),SNK CORPORATION,SNK CORPORATION
38,The Last Express Gold Edition,the-last-express,$6.99,53% (81%/82%),"20,000?..?50,000",00:00 (00:00),DotEmu,DotEmu
351,The Mysterious Cities of Gold,The-Mysterious-Cities-of-Gold,$11.99,49% (79%),"20,000?..?50,000",00:00 (00:00),Neko Entertainment,Neko Entertainment
103,The Night of the Rabbit,The-Night-of-the-Rabbit,$19.99,77% (90%/75%),"200,000?..?500,000",00:00 (00:00),Daedalic Entertainment,Daedalic Entertainment
184,The Novelist,The-Novelist,$9.99,53% (81%/66%),"100,000?..?200,000",00:00 (00:00),Orthogonal Games,
355,The Saint: Abyss of Despair,The-Saint-Abyss-of-Despair,$3.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Happy Artist,Alawar Entertainment
308,The Shivah,The-Shivah,$4.99,56% (82%),"50,000?..?100,000",00:00 (00:00),,Wadjet Eye Games
10,The Stanley Parable,The-Stanley-Parable,$14.99,80% (91%/88%),"2,000,000?..?5,000,000",03:03 (01:27),Galactic Cafe,Galactic Cafe
12,The Swapper,The-Swapper,$14.99,93% (95%/87%),"500,000?..?1,000,000",01:43 (01:38),"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games
394,The Typing of The Dead: Overkill,The-Typing-of-The-Dead-Overkill,$19.99,66% (86%),"200,000?..?500,000",01:39 (00:33),Modern Dream,SEGA
265,The Walking Dead: Season 2,The-Walking-Dead-Season-2,N/A,93% (95%),"1,000,000?..?2,000,000",02:23 (01:34),Telltale Games,Telltale Games
319,The Wizard's Lair,The-Wizards-Lair,$2.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),Magicbane,Magicbane
19,The Wolf Among Us,The-Wolf-Among-Us,$14.99,97% (97%/85%),"1,000,000?..?2,000,000",06:06 (04:04),Telltale Games,Telltale Games
159,Thunder Wolves,Thunder-Wolves,$9.99,74% (89%/69%),"100,000?..?200,000",00:00 (00:00),Most Wanted Entertainment,HandyGames
495,Tiny Barbarian DX,Tiny-Barbarian-DX,$29.99,68% (87%),"20,000?..?50,000",00:00 (00:00),StarQuail Games,"Nicalis, Inc"
419,Tiny Brains,Tiny-Brains,$9.99,45% (77%),"50,000?..?100,000",00:00 (00:00),Spearhead Games,505 Games
341,Toki Tori 2+,Toki-Tori-2+,$14.99,66% (86%),"200,000?..?500,000",00:00 (00:00),Two Tribes,Two Tribes
459,Tom Clancy's Splinter Cell Blacklist,Tom-Clancys-Splinter-Cell-Blacklist,$29.99,58% (83%),"500,000?..?1,000,000",01:25 (01:16),Ubisoft Toronto,Ubisoft
13,Tomb Raider,Tomb-Raider,$19.99,93% (95%/86%),"5,000,000?..?10,000,000",03:12 (00:59),"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
387,Tomb Raider - The Final Hours Digital Book,Tomb-Raider---The-Final-Hours-Digital-Book,$1.99,77% (90%),"20,000?..?50,000",00:00 (00:00),Geoff Keighley,Geoff Keighley
96,Total War: ROME II - Emperor Edition,Total-War-ROME-II---Emperor-Edition,$59.95,28% (67%/76%),"2,000,000?..?5,000,000",06:35 (03:00),CREATIVE ASSEMBLY,SEGA
44,TrackMania2 Canyon,trackmania-2-canyon,$19.99,49% (79%/81%),"100,000?..?200,000",05:16 (07:38),Nadeo,Ubisoft
85,TrackMania2 Stadium,TrackMania-2-Stadium,$9.99,56% (82%/77%),"200,000?..?500,000",03:05 (01:13),Nadeo,Ubisoft
64,TrackMania2 Valley,TrackMania-2-Valley,$19.99,43% (76%/79%),"100,000?..?200,000",00:58 (00:19),Nadeo,Ubisoft
470,Train Simulator: East Coast Main Line London-Peterborough Route Add-On,Train-Simulator-East-Coast-Main-Line-London-Peterborough-Route-Add-On,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Dovetail Games,Dovetail Games - Trains
458,Train Simulator: Pacific Surfliner LA - San Diego Route,Train-Simulator-Pacific-Surfliner-LA---San-Diego-Route,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Dovetail Games,Dovetail Games - Trains
408,Train Simulator: West Somerset Railway Route Add-On,Train-Simulator-West-Somerset-Railway-Route-Add-On,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Dovetail Games,Dovetail Games - Trains
20,Trials Evolution: Gold Edition,Trials-Evolution-Gold-Edition,$19.99,43% (76%/85%),"200,000?..?500,000",00:11 (00:03),"Redlynx Ltd, Ubisoft Shanghaï",Ubisoft
25,Trine 2: Complete Story,Trine-2-Complete-Story,$19.99,93% (95%/84%),"2,000,000?..?5,000,000",02:58 (01:42),Frozenbyte,Frozenbyte
460,Truck Racer,Truck-Racer,$9.99,30% (68%),"20,000?..?50,000",00:00 (00:00),Kylotonn Entertainment,"Plug In Digital, Bigben Interactive"
218,Two Brothers,Two-Brothers,N/A,3% (30%/57%),"100,000?..?200,000",00:00 (00:00),Ackk Studios,Ackk Studios
375,Type:Rider,TypeRider,$4.99,56% (82%),"100,000?..?200,000",00:00 (00:00),Ex Nihilo,Plug In Digital
413,Ultratron,Ultratron,$9.99,77% (90%),"50,000?..?100,000",00:00 (00:00),Puppygames,Puppygames
243,Unholy Heights,Unholy-Heights,$3.99,77% (90%),"100,000?..?200,000",00:00 (00:00),Petit Depotto,AGM PLAYISM
348,Urban Chaos,Urban-Chaos,$6.99,47% (78%),"20,000?..?50,000",00:02 (00:00),,"Square Enix, Eidos Interactive"
215,Urban Trial Freestyle,Urban-Trial-Freestyle,$6.99,56% (82%/58%),"100,000?..?200,000",03:32 (01:10),Tate Multimedia,Tate Multimedia
32,Valdis Story: Abyssal City,Valdis-Story-Abyssal-City,$14.99,60% (84%/83%),"100,000?..?200,000",00:00 (00:00),,Endlessfluff Games
367,Vector,Vector,$6.99,71% (88%),"20,000?..?50,000",00:26 (00:12),,Nekki GmbH
360,VelocityUltra,VelocityUltra,$9.99,63% (85%),"50,000?..?100,000",00:00 (00:00),"Curve Digital, FuturLab",Curve Digital
207,Violett Remastered,Violett-Remastered,$9.99,18% (59%/61%),"100,000?..?200,000",01:46 (00:35),Forever Entertainment S. A.,Forever Entertainment S. A.
309,Virtual Race Car Engineer 2017,Virtual-Race-Car-Engineer-2017,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Tim McArthur,Monkey Face Software LLC
350,Viscera Cleanup Detail: Santa's Rampage,Viscera-Cleanup-Detail-Santas-Rampage,$2.49,77% (90%),"500,000?..?1,000,000",03:06 (01:02),RuneStorm,RuneStorm
301,Viscera Cleanup Detail: Shadow Warrior,Viscera-Cleanup-Detail-Shadow-Warrior,N/A,49% (79%),"200,000?..?500,000",00:05 (00:02),RuneStorm,Devolver Digital
97,Volgarr the Viking,Volgarr-the-Viking,$9.99,60% (84%/76%),"200,000?..?500,000",01:26 (00:55),Crazy Viking Studios,Adult Swim Games
511,Vox,Vox,$9.99,2% (24%),"20,000?..?50,000",00:00 (00:00),,
43,War Thunder,War-Thunder,Free,51% (80%/81%),"10,000,000?..?20,000,000",10:08 (02:10),Gaijin Entertainment,Gaijin Entertainment
145,Warframe,Warframe,Free,84% (92%/71%),"20,000,000?..?50,000,000",17:05 (04:21),Digital Extremes,Digital Extremes
55,Wargame: Airland Battle,Wargame-Airland-Battle,$19.99,71% (88%/80%),"500,000?..?1,000,000",00:02 (00:00),Eugen Systems,Focus Home Interactive
340,Wasteland 1 - The Original Classic,Wasteland-1---The-Original-Classic,$5.99,53% (81%),"200,000?..?500,000",00:00 (00:00),inXile Entertainment,inXile Entertainment
68,Weird Worlds: Return to Infinite Space,Weird-Worlds-Return-to-Infinite-Space,$4.99,34% (71%/79%),"200,000?..?500,000",00:00 (00:00),Digital Eel,Digital Eel
295,Wizardry 6: Bane of the Cosmic Forge,Wizardry-6-Bane-of-the-Cosmic-Forge,$4.99,45% (77%),"50,000?..?100,000",00:57 (00:19),Sir-Tech,"Gamepot, Inc., Nightdive Studios"
422,Wizardry 7: Crusaders of the Dark Savant,Wizardry-7-Crusaders-of-the-Dark-Savant,$4.99,74% (89%),"50,000?..?100,000",00:01 (00:00),Sir-Tech,"Gamepot, Inc., Nightdive Studios"
23,Wizardry 8,Wizardry-8,$9.99,84% (92%/85%),"100,000?..?200,000",00:00 (00:00),Sir-Tech Canada,"Gamepot, Inc., Nightdive Studios"
