#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,
4198,Catch-a-Lover,24-Jul-17,$6.99,13% (53%),"0?..?20,000",00:00 (00:00),Toxic Dog,Toxic Dog,,,,,,,,
4564,ZombieFight-VR,15-Jun-17,$19.99,13% (53%),"0?..?20,000",00:00 (00:00),"Beijing Elysium Interactive Technology Co.,Ltd.","Beijing Elysium Interactive Technology Co.,Ltd.",,,,,,,,
6847,Miner-Ultra-Shooter,20-Sep-17,$1.99,13% (53%),"0?..?20,000",00:00 (00:00),Manic Mind Game Lab,Old School Blender Addicted,,,,,,,,
333,FlatOut-4-Total-Insanity,4-Apr-17,$29.99,13% (53%/52%),"50,000?..?100,000",01:13 (00:37),Kylotonn,Strategy First,,,,,,,,
233,Dawn-of-Andromeda,4-May-17,$29.99,13% (53%/70%),"0?..?20,000",00:00 (00:00),Grey Wolf Entertainment,Iceberg Interactive,,,,,,,,
5422,Call-of-Duty-WWII,2-Nov-17,$59.99,14% (54%),"500,000?..?1,000,000",01:26 (01:37),"Sledgehammer Games, Raven Software",Activision,,,,,,,,
4207,Castle-Story,17-Aug-17,$24.99,14% (54%),"200,000?..?500,000",00:45 (00:51),Sauropod Studio,Sauropod Studio,,,,,,,,
6547,Dark-and-Light,20-Jul-17,$29.99,14% (54%),"200,000?..?500,000",18:47 (19:58),Snail Games USA,Snail Games USA,,,,,,,,
480,Ultimate-Russian-Zombie-Rush,10-Feb-17,$3.99,14% (54%),"100,000?..?200,000",03:16 (04:17),"Mahhaon Horror, Sun Pixel",AYE Technology,,,,,,,,
3656,Red-Crucible-Reloaded,22-Nov-17,Free,14% (54%),"100,000?..?200,000",00:17 (00:11),"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",,,,,,,,
466,Super-POTUS-Trump,8-Aug-17,Free,14% (54%),"50,000?..?100,000",00:52 (00:17),"Emerson Design, Inc.","Emerson Design, Inc.",,,,,,,,
660,Crimson-Earth-2,9-Nov-17,$0.99,14% (54%),"50,000?..?100,000",01:11 (00:23),EHTechnology,"EHTechnology, Dagestan Technology",,,,,,,,
4461,Multiplayer-FPS-Demo,6-Jul-17,Free,14% (54%),"50,000?..?100,000",335:11 (111:43),Vitor Pêgas,Oryzhon Studios,,,,,,,,
888,Aloha-Paradise-Hotel,25-Oct-17,Free,14% (54%),"20,000?..?50,000",00:00 (00:00),TG Nord,GAMES in FLAMES,,,,,,,,
2013,P-Walkers-Simulation,24-May-17,$2.99,14% (54%),"20,000?..?50,000",00:00 (00:00),BrainStrainStudios,BrainStrainStudios,,,,,,,,
