#,Game,Games,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,,
88,Move or Die,Move-or-Die,21-Jan-16,$14.99,68% (87%,80%),"500,000?..?1,000,000",00:39 (00:26),Those Awesome Guys,Those Awesome Guys,,,,,,,,
78,Tyranny,Tyranny,10-Nov-16,$29.99,66% (86%,80%),"200,000?..?500,000",07:56 (09:10),Obsidian Entertainment,Paradox Interactive,,,,,,,,
82,Candle,Candle,11-Nov-16,$14.99,63% (85%,80%),"20,000?..?50,000",00:00 (00:00),Teku Studios,Daedalic Entertainment,,,,,,,,
85,Seraph,Seraph,20-Sep-16,$12.99,60% (84%,80%),"20,000?..?50,000",02:00 (00:40),Dreadbit,Dreadbit,,,,,,,,
79,Mushroom Wars,Mushroom-Wars,7-Apr-16,$9.99,47% (78%,80%),"50,000?..?100,000",00:00 (00:00),"Zillion Whales, Creat Studios",Zillion Whales,,,,,,,,
81,1979 Revolution: Black Friday,1979-Revolution:-Black-Friday,4-Apr-16,$5.99,41% (75%,80%),"20,000?..?50,000",00:00 (00:00),"iNK Stories, N-Fusion Interactive",iNK Stories,,,,,,,,
89,Mekazoo,Mekazoo,14-Nov-16,$9.99,41% (75%,80%),"0?..?20,000",00:00 (00:00),The Good Mood Creators,The Good Mood Creators,,,,,,,,
87,Hover Junkers,Hover-Junkers,5-Apr-16,$19.99,24% (64%,80%),"20,000?..?50,000",00:00 (00:00),Stress Level Zero,Stress Level Zero,,,,,,,,
80,BioShock Remastered,BioShock-Remastered,15-Sep-16,$19.99,21% (61%,80%),"2,000,000?..?5,000,000",03:07 (01:34),"2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",,,,,,,,
97,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,EARTH-DEFENSE-FORCE-41-The-Shadow-of-New-Despair,18-Jul-16,$19.99,93% (95%,79%),"100,000?..?200,000",08:44 (12:32),SANDLOT,D3 PUBLISHER,,,,,,,,
98,Hue,Hue,30-Aug-16,$14.99,87% (93%,79%),"50,000?..?100,000",00:27 (00:09),Fiddlesticks Games,Curve Digital,,,,,,,,
95,Anarcute,Anarcute,12-Jul-16,$14.99,87% (93%,79%),"0?..?20,000",00:00 (00:00),Anarteam,"Anarteam, Plug In Digital",,,,,,,,
100,The Metronomicon: Slay The Dance Floor,The-Metronomicon:-Slay-The-Dance-Floor,29-Sep-16,$19.99,87% (93%,79%),"0?..?20,000",00:00 (00:00),Puuba,Kasedo Games,,,,,,,,
99,Kelvin and the Infamous Machine,Kelvin-and-the-Infamous-Machine,21-Jul-16,$14.99,71% (88%,79%),"20,000?..?50,000",02:00 (00:40),Blyts,Blyts,,,,,,,,
94,The Gallery - Episode 1: Call of the Starseed,The-Gallery---Episode-1:-Call-of-the-Starseed,5-Apr-16,$19.99,60% (84%,79%),"50,000?..?100,000",01:49 (00:36),Cloudhead Games ltd.,Cloudhead Games ltd.,,,,,,,,
101,Redie,Redie,1-Dec-16,$9.99,56% (82%,79%),"0?..?20,000",00:00 (00:00),Rückert Broductions,Rückert Broductions,,,,,,,,
96,Goetia,Goetia,14-Apr-16,$14.99,51% (80%,79%),"50,000?..?100,000",00:00 (00:00),Sushee,Square Enix,,,,,,,,
92,Worms W.M.D,Worms-WMD,23-Aug-16,$10.19,47% (78%,79%),"200,000?..?500,000",00:49 (00:33),Team17 Digital Ltd,Team17 Digital Ltd,,,,,,,,
93,Homeworld: Deserts of Kharak,Homeworld:-Deserts-of-Kharak,20-Jan-16,$49.99,47% (78%,79%),"200,000?..?500,000",02:33 (03:01),Blackbird Interactive,Gearbox Publishing,,,,,,,,
91,Fractured Space,Fractured-Space,22-Sep-16,Free,45% (77%,79%),"2,000,000?..?5,000,000",02:41 (03:49),Edge Case Games Ltd.,Edge Case Games Ltd.,,,,,,,,
105,Deathsmiles,Deathsmiles,10-Mar-16,$19.99,97% (97%,78%),"20,000?..?50,000",00:00 (00:00),"CAVE Interactive CO.,LTD.",Degica,,,,,,,,
114,Wuppo,Wuppo,29-Sep-16,$14.99,93% (95%,78%),"200,000?..?500,000",00:58 (00:58),Knuist & Perzik,SOEDESCO Publishing,,,,,,,,
109,The Count Lucanor,The-Count-Lucanor,3-Mar-16,$9.99,87% (93%,78%),"50,000?..?100,000",04:07 (01:22),Baroque Decay,Baroque Decay,,,,,,,,
112,Zero Escape: Zero Time Dilemma,Zero-Escape:-Zero-Time-Dilemma,29-Jun-16,$39.99,80% (91%,78%),"50,000?..?100,000",00:00 (00:00),"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",,,,,,,,
113,"That Dragon, Cancer",That-Dragon-Cancer,11-Jan-16,$9.99,74% (89%,78%),"20,000?..?50,000",00:00 (00:00),Numinous Games,Numinous Games,,,,,,,,
103,Crashlands,Crashlands,21-Jan-16,$14.99,71% (88%,78%),"100,000?..?200,000",04:58 (04:21),Butterscotch Shenanigans,Butterscotch Shenanigans,,,,,,,,
106,Xanadu Next,Xanadu-Next,3-Nov-16,$19.99,71% (88%,78%),"0?..?20,000",29:00 (09:40),Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",,,,,,,,
104,Shadow Warrior 2,Shadow-Warrior-2,13-Oct-16,$39.99,68% (87%,78%),"200,000?..?500,000",02:34 (02:08),Flying Wild Hog,Devolver Digital,,,,,,,,
102,Stellaris,Stellaris,9-May-16,$39.99,47% (78%,78%),"1,000,000?..?2,000,000",10:11 (05:35),Paradox Development Studio,Paradox Interactive,,,,,,,,
111,Offworld Trading Company,Offworld-Trading-Company,28-Apr-16,$19.99,38% (73%,78%),"200,000?..?500,000",01:49 (01:47),Mohawk Games,Stardock Entertainment,,,,,,,,
108,Lovely Planet Arcade,Lovely-Planet-Arcade,22-Jul-16,$5.99,38% (73%,78%),"0?..?20,000",00:00 (00:00),QUICKTEQUILA,tinyBuild Games,,,,,,,,
110,Dungelot: Shattered Lands,Dungelot:-Shattered-Lands,18-Feb-16,$9.99,33% (70%,78%),"20,000?..?50,000",02:41 (00:53),Red Winter Software,tinyBuild,,,,,,,,
107,Obliteracers,Obliteracers,23-Feb-16,$14.99,25% (65%,78%),"20,000?..?50,000",00:00 (00:00),Varkian Empire,"Varkian Empire, Deck13",,,,,,,,
120,VA-11 Hall-A: Cyberpunk Bartender Action,VA-11-Hall-A:-Cyberpunk-Bartender-Action,21-Jun-16,$14.99,97% (97%,77%),"200,000?..?500,000",02:32 (01:15),Sukeban Games,"Ysbryd Games, AGM PLAYISM",,,,,,,,
116,The Lion's Song: Episode 1 - Silence,The-Lions-Song:-Episode-1---Silence,7-Jul-16,Free,87% (93%,77%),"100,000?..?200,000",01:31 (02:27),Mi'pu'mi Games GmbH,Mi'pu'mi Games GmbH,,,,,,,,
124,Kathy Rain,Kathy-Rain,5-May-16,$14.99,87% (93%,77%),"100,000?..?200,000",00:00 (00:00),Clifftop Games,Raw Fury,,,,,,,,
118,Orwell: Keeping an Eye On You,Orwell:-Keeping-an-Eye-On-You,27-Oct-16,$9.99,84% (92%,77%),"2,000,000?..?5,000,000",11:27 (01:33),Osmotic Studios,Fellow Traveller,,,,,,,,
119,On Rusty Trails,On-Rusty-Trails,13-Jun-16,$12.99,77% (90%,77%),"50,000?..?100,000",00:00 (00:00),Black Pants Studio,Black Pants Studio,,,,,,,,
125,Dark Train,Dark-Train,25-Oct-16,$9.99,77% (90%,77%),"0?..?20,000",00:00 (00:00),Paperash Studio,Paperash Studio,,,,,,,,
121,Reigns,Reigns,11-Aug-16,$2.99,74% (89%,77%),"200,000?..?500,000",01:01 (00:23),Nerial,Devolver Digital,,,,,,,,
117,Echoes of Aetheria,Echoes-of-Aetheria,15-Jan-16,$14.99,74% (89%,77%),"0?..?20,000",00:00 (00:00),Dancing Dragon Games,Degica,,,,,,,,
115,Lumo,Lumo,24-May-16,$19.99,36% (72%,77%),"0?..?20,000",00:00 (00:00),Triple Eh?,Rising Star Games,,,,,,,,
123,Battlefleet Gothic: Armada,Battlefleet-Gothic:-Armada,21-Apr-16,$29.99,30% (68%,77%),"200,000?..?500,000",00:33 (00:37),Tindalos Interactive,Focus Home Interactive,,,,,,,,
127,DEADBOLT,DEADBOLT,14-Mar-16,$9.99,93% (95%,76%),"100,000?..?200,000",00:59 (00:46),"Hopoo Games, LLC","Hopoo Games, LLC",,,,,,,,
137,Furi,Furi,5-Jul-16,$19.99,80% (91%,76%),"500,000?..?1,000,000",01:29 (01:06),The Game Bakers,The Game Bakers,,,,,,,,
135,Shantae: Half-Genie Hero,Shantae:-Half-Genie-Hero,20-Dec-16,$19.99,80% (91%,76%),"50,000?..?100,000",00:00 (00:00),WayForward,WayForward,,,,,,,,
134,American Truck Simulator,American-Truck-Simulator,2-Feb-16,$19.99,80% (91%,76%),"1,000,000?..?2,000,000",05:44 (02:04),SCS Software,SCS Software,,,,,,,,
129,House of the Dying Sun,House-of-the-Dying-Sun,1-Nov-16,$19.99,74% (89%,76%),"50,000?..?100,000",00:50 (00:44),"Marauder Interactive, LLC","Marauder Interactive, LLC",,,,,,,,
128,Clustertruck,Clustertruck,27-Sep-16,$14.99,74% (89%,76%),"200,000?..?500,000",00:52 (00:22),Landfall,tinyBuild,,,,,,,,
131,Deponia Doomsday,Deponia-Doomsday,1-Mar-16,$19.99,66% (86%,76%),"200,000?..?500,000",03:10 (03:09),Daedalic Entertainment,Daedalic Entertainment,,,,,,,,
130,The Final Station,The-Final-Station,30-Aug-16,$14.99,63% (85%,76%),"100,000?..?200,000",03:42 (01:14),"Oleg Sergeev, Andrey Rumak, Do My Best",tinyBuild,,,,,,,,
132,Obduction,Obduction,24-Aug-16,$29.99,45% (77%,76%),"100,000?..?200,000",00:59 (00:39),Cyan Inc.,Cyan Inc.,,,,,,,,
136,The Aquatic Adventure of the Last Human,The-Aquatic-Adventure-of-the-Last-Human,19-Jan-16,$9.99,39% (74%,76%),"0?..?20,000",00:00 (00:00),YCJY,YCJY,,,,,,,,
126,Everybody's Gone to the Rapture,Everybodys-Gone-to-the-Rapture,14-Apr-16,$19.99,31% (69%,76%),"20,000?..?50,000",00:00 (00:00),The Chinese Room,"PlayStation Mobile, Inc.",,,,,,,,
133,Polaris Sector,Polaris-Sector,22-Mar-16,$39.99,30% (68%,76%),"0?..?20,000",00:00 (00:00),SoftWarWare,Slitherine Ltd.,,,,,,,,
146,Rusty Lake: Roots,Rusty-Lake:-Roots,20-Oct-16,$2.99,93% (95%,75%),"100,000?..?200,000",03:30 (04:39),Rusty Lake,Rusty Lake,,,,,,,,
141,Downfall,Downfall,15-Feb-16,$10.99,87% (93%,75%),"50,000?..?100,000",00:00 (00:00),Harvester Games,Screen 7,,,,,,,,
149,Beholder,Beholder,9-Nov-16,$9.99,77% (90%,75%),"500,000?..?1,000,000",02:47 (02:04),Warm Lamp Games,Alawar Premium,,,,,,,,
150,Battlezone 98 Redux,Battlezone-98-Redux,18-Apr-16,$19.99,77% (90%,75%),"20,000?..?50,000",01:41 (00:33),Big Boat Interactive,Rebellion,,,,,,,,
147,Killing Floor 2,Killing-Floor-2,18-Nov-16,$29.99,74% (89%,75%),"2,000,000?..?5,000,000",07:45 (02:39),Tripwire Interactive,Tripwire Interactive,,,,,,,,
143,Road to Ballhalla,Road-to-Ballhalla,5-Aug-16,$14.99,74% (89%,75%),"100,000?..?200,000",00:30 (00:10),Torched Hill,tinyBuild,,,,,,,,
138,Shardlight,Shardlight,8-Mar-16,$14.99,71% (88%,75%),"20,000?..?50,000",00:00 (00:00),Wadjet Eye Games,Wadjet Eye Games,,,,,,,,
