X.,Game,Url,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
464,Millennium - A New Hope,Miko-Gakkou-Second-Year,25-Apr-14,$5.99,31% (69%),"200,000?..?500,000",02:36 (02:09),Aldorlea Games,Aldorlea Games
1574,Millennium 2 - Take Me Higher,Millennium-2-Take-Me-Higher,10-Jul-14,$5.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),Aldorlea Games,Aldorlea Games
1371,Millennium 3 - Cry Wolf,Millennium-3---Cry-Wolf,29-Aug-14,$5.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Aldorlea Games,Aldorlea Games
1038,Millennium 4 - Beyond Sunset,Millennium-4-Beyond-Sunset,19-Sep-14,$5.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),Aldorlea Games,Aldorlea Games
1442,Millennium 5 - The Battle of the Millennium,Millennium-5-The-Battle-of-the-Millennium,7-Nov-14,$9.99,N/A (N/A),"20,000?..?50,000",01:32 (00:30),Aldorlea Games,Aldorlea Games
1010,Millie,Millennium-A-New-Hope,18-Apr-14,$3.99,56% (82%),"100,000?..?200,000",01:30 (00:30),Forever Entertainment S. A.,Forever Entertainment S. A.
880,Millionaire Manor,Millie,15-May-14,$4.99,19% (60%),"20,000?..?50,000",00:00 (00:00),Gogii Games,Strategy First
119,MIND: Path to Thalamus Enhanced Edition,Millionaire-Manor,5-Aug-14,$11.99,24% (64%/75%),"100,000?..?200,000",00:00 (00:00),"Pantumaca Barcelona, @CarlosGameDev, Dani Navarro, Luka Nieto",Talking About Media
198,Minimum,mind-path-to-thalamus,10-Sep-14,N/A,17% (58%/69%),"100,000?..?200,000",00:00 (00:00),,"Atari, Cubed Productions LLC"
1624,Mining & Tunneling Simulator,Minimum,5-Mar-14,$9.99,2% (21%),"20,000?..?50,000",00:00 (00:00),United Independent Entertainment GmbH,United Independent Entertainment GmbH
812,Mining Industry Simulator,Mining-Industry-Simulator,28-Nov-14,$9.99,2% (19%),"0?..?20,000",00:00 (00:00),Crafty Studios,Ravenscourt
693,Mirror Mysteries,Mining-Tunneling-Simulator,10-Apr-14,$4.99,43% (76%),"20,000?..?50,000",00:00 (00:00),Easy Co,Strategy First
780,Mirror Mysteries 2,Mirror-Mysteries-2,10-Apr-14,$4.99,13% (53%),"0?..?20,000",00:00 (00:00),Gogii Games,Strategy First
1580,Miscreated,Miscreated,30-Oct-14,$24.99,31% (69%),"500,000?..?1,000,000",03:47 (00:39),Entrada Interactive LLC,Entrada Interactive LLC
677,Mission Control: NanoMech,Mission-Control-NanoMech,17-Dec-14,$8.99,N/A (N/A),"0?..?20,000",00:00 (00:00),WisdomTools,WisdomTools
503,Mitsurugi Kamui Hikae,Mitsurugi-Kamui-Hikae,10-Mar-14,$9.99,58% (83%),"100,000?..?200,000",00:01 (00:00),Zenith Blue,AGM PLAYISM
815,MODO indie 901,MODO-indie-901,11-Dec-14,$14.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Foundry,Foundry
335,Moebius: Empire Rising,Moebius-Empire-Rising,15-Apr-14,$14.99,51% (80%/54%),"20,000?..?50,000",00:00 (00:00),Phoenix Online Studios,Phoenix Online Publishing
899,Momodora III,Momodora-III,1-Jul-14,$1.99,84% (92%),"50,000?..?100,000",00:00 (00:00),rdein,rdein
1389,Monochroma,Monochroma,28-May-14,$19.99,39% (74%),"50,000?..?100,000",00:00 (00:00),Nowhere Studios,Nowhere Studios
759,Monomino,Monomino,3-Oct-14,N/A,N/A (N/A),"0?..?20,000",00:00 (00:00),NYP,Degica
1132,Monster Bash,Monster-Bash,5-May-14,$4.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),3D Realms (Apogee Software),Apogee Software
1518,Monster Challenge Circus,Monster-Challenge-Circus,15-May-14,$4.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Freegamer,Strategy First
1000,Monsters Ate My Birthday Cake,Monsters-Ate-My-Birthday-Cake,1-Jul-14,$7.99,97% (97%),"0?..?20,000",00:00 (00:00),SleepNinja Games,Cartoon Network Games
1510,Monstro: Battle Tactics,Monstro-Battle-Tactics,9-Jan-14,$5.99,N/A (N/A),"20,000?..?50,000",00:00 (00:00),Retrocade.net,Retrocade.net
549,Montas,Montas,24-Mar-14,$9.99,8% (43%),"0?..?20,000",00:00 (00:00),Organic Humans,Organic Humans
961,Monuments of Mars,Monuments-of-Mars,5-May-14,N/A,N/A (N/A),"50,000?..?100,000",00:00 (00:00),3D Realms (Apogee Software),3D Realms (Apogee Software)
84,MoonBase Commander,MoonBase-Commander,6-Feb-14,$5.99,77% (90%/77%),"20,000?..?50,000",00:00 (00:00),Humongous Entertainment,Rebellion
